#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG01062,0,0,0,1.78141,0,0,14.233
HG01063,0,0,0,0,0,0,13.4619
HG01064,0,0,0,1.78141,0,0,11.6265
HG01066,0,0,0,0,0,0,18.0655
HG01067,0,0,0,0,0,0,13.7212
HG01068,0,0,0,0,0,0,20.9216
HG01069,0,0,0,0,0,0,25.5056
HG01070,0,0,0,0,0,0,28.7451
HG01071,0,0,0,0,0,0,23.5085
HG01072,0,0,0,3.56282,0,0,13.5364
HG01073,0,0,0,0,0,0,21.5212
HG01074,0,0,0,1.78141,0,0,20.8343
HG01075,0,0,0,0,0,0,9.71666
HG01077,0,0,0,0,0,0,22.1438
HG01079,0,0,0,0,0,0,10.8652
HG01080,0,0,0,3.56282,0,0,23.0035
HG01081,0,0,0,1.78141,0,0,18.4871
HG01082,0,0,0,0,0,0,9.45733
HG01083,0,0,0,0,0,0,17.8396
HG01084,0,0,0,0,0,0,19.2877
HG01085,0,0,0,0,0,0,10.8652
HG01086,0,0,0,0,0,0,11.4545
HG01087,0,0,0,0,0,0,8.59843
HG01088,0,0,0,0,0,0,6.86062
HG01089,0,0,0,1.78141,0,0,18.4871
HG01092,0,0,0,0,0,0,10.6157
HG01094,0,0,0,1.78141,0,0,11.6265
HG01095,0,0,0,0,0,0,18.9244
HG01096,0,0,0,1.78141,0,0,15.6311
HG01097,0,0,0,0,0,0,13.4717
HG01098,0,0,0,0,0,0,0
HG01099,0,0,0,0,0,0,4.00458
HG01100,0,0,0,0,0,0,20.6956
HG01101,0,0,0,0,0,0,13.7212
HG01102,0,0,0,1.78141,0,0,21.0839
HG01103,0,0,0,1.78141,0,0,23.9399
HG01104,0,0,0,0,0,0,17.816
HG01105,0,0,0,0,0,0,15.459
HG01106,0,0,0,0,0,0,19.8033
HG01107,0,0,0,0,0,0,17.7661
HG01108,0,0,0,1.78141,0,0,15.6311
HG01109,0,0,0,0,0,0,12.3134
HG01110,0,0,0,0,0,0,16.4415
HG01111,0,0,0,0,0,0,22.9791
HG01112,0,0,0,0,0,0,13.4717
HG01113,0,0,0,0,0,0,6.86062
HG01114,0,0,0,0,0,0,9.46711
HG01119,0,0,0,0,0,0,26.1484
HG01121,0,0,0,0,0,0,16.6577
HG01122,0,0,0,1.78141,0,0,21.0839
HG01124,0,0,0,0,0,0,13.7713
HG01125,0,0,0,1.78141,0,0,21.4569
HG01126,0,0,0,1.78141,0,0,15.9307
HG01130,0,0,0,0,0,0,8.00917
HG01131,0,0,0,1.78141,0,0,8.77048
HG01133,0,0,0,0,0,0,13.7212
HG01134,0,0,0,1.78141,0,0,11.6265
HG01135,0,0,0,0,0,0,13.7212
HG01136,0,0,0,1.78141,0,0,18.2278
HG01137,0,0,0,0,0,0,8.00917
HG01138,0,0,0,0,0,0,13.4619
HG01139,0,0,0,0,0,0,2.85604
HG01140,0,0,0,0,0,0,0
HG01141,0,0,0,0,0,0,2.85604
HG01142,0,0,0,0,0,0,13.7212
HG01148,0,0,0,0,0,0,6.86062
HG01149,0,0,0,0,0,0,29.0044
HG01150,0,0,0,0,0,0,6.86062
HG01161,0,0,0,0,0,0,19.2877
HG01162,0,0,0,0,0,0,6.86062
HG01164,0,0,0,1.78141,0,0,12.7751
HG01167,0,0,0,0,0,0,17.8396
HG01168,0,0,0,0,0,0,13.4619
HG01169,0,0,0,0,0,0,13.4619
HG01170,0,0,0,0,0,0,10.8652
HG01171,0,0,0,1.78141,0,0,25.4615
HG01172,0,0,0,0,0,0,10.8652
HG01173,0,0,0,1.78141,0,0,12.7751
HG01174,0,0,0,0,0,0,18.9244
HG01175,0,0,0,0,0,0,18.9244
HG01176,0,0,0,0,0,0,26.1484
HG01177,0,0,0,0,0,0,16.0782
HG01178,0,0,0,0,0,0,18.9244
HG01182,0,0,0,1.78141,0,0,22.6055
HG01183,0,0,0,1.78141,0,0,23.9399
HG01184,0,0,0,0,0,0,20.6956
HG01187,0,0,0,3.56282,0,0,20.1475
HG01188,0,0,0,0,0,0,12.3134
HG01189,0,0,0,1.78141,0,0,15.3816
HG01190,0,0,0,1.78141,0,0,12.7751
HG01191,0,0,0,1.78141,0,0,22.6055
HG01192,0,0,0,3.56282,0,0,17.541
HG01197,0,0,0,0,0,0,9.45733
HG01198,0,0,0,0,0,0,2.85604
HG01199,0,0,0,0,0,0,12.3134
HG01200,0,0,0,0,0,0,12.0638
HG01204,0,0,0,1.78141,0,0,12.7751
HG01205,0,0,0,0,0,0,4.00458
HG01206,0,0,0,0,0,0,8.00917
HG01241,0,0,0,0,0,0,8.59843
HG01242,0,0,0,0,0,0,10.8652
HG01243,0,0,0,0,0,0,11.4545
HG01247,0,0,0,0,0,0,20.6956
HG01248,0,0,0,0,0,0,15.459
HG01249,0,0,0,0,0,0,14.6703
HG01250,0,0,0,1.78141,0,0,18.6009
HG01251,0,0,0,0,0,0,10.8652
HG01252,0,0,0,1.78141,0,0,22.6055
HG01253,0,0,0,1.78141,0,0,21.0839
HG01254,0,0,0,1.78141,0,0,14.233
HG01255,0,0,0,1.78141,0,0,14.4826
HG01256,0,0,0,1.78141,0,0,21.4569
HG01257,0,0,0,0,0,0,13.4717
HG01258,0,0,0,1.78141,0,0,21.4569
HG01259,0,0,0,0,0,0,10.8652
HG01260,0,0,0,0,0,0,10.8652
HG01261,0,0,0,0,0,0,10.8652
HG01269,0,0,0,0,0,0,28.7549
HG01271,0,0,0,1.78141,0,0,22.8217
HG01272,0,0,0,0,0,0,9.45733
HG01273,0,0,0,1.78141,0,0,14.2232
HG01274,0,0,0,0,0,0,13.4717
HG01275,0,0,0,0,0,0,10.8652
HG01276,0,0,0,0,0,0,16.3277
HG01277,0,0,0,1.78141,0,0,16.2204
HG01278,0,0,0,1.78141,0,0,16.2204
HG01279,0,0,0,1.78141,0,0,19.0764
HG01280,0,0,0,1.78141,0,0,18.2278
HG01281,0,0,0,0,0,0,8.59843
HG01284,0,0,0,0,0,0,20.6956
HG01286,0,0,0,0,0,0,29.3441
HG01302,0,0,0,1.78141,0,0,15.6311
HG01303,0,0,0,0,0,0,10.8652
HG01305,0,0,0,0,0,0,8.00917
HG01308,0,0,0,0,0,0,14.9199
HG01311,0,0,0,0,0,0,20.4461
HG01312,0,0,0,1.78141,0,0,15.6311
HG01323,0,0,0,1.78141,0,0,18.4871
HG01325,0,0,0,1.78141,0,0,21.0936
HG01326,0,0,0,0,0,0,26.1484
HG01334,0,0,0,1.78141,0,0,39.223
HG01341,0,0,0,0,0,0,6.86062
HG01342,0,0,0,0,0,0,0
HG01343,0,0,0,0,0,0,0
HG01344,0,0,0,1.78141,0,0,8.77048
HG01345,0,0,0,1.78141,0,0,8.77048
HG01346,0,0,0,1.78141,0,0,4.7659
HG01347,0,0,0,0,0,0,13.7212
HG01348,0,0,0,1.78141,0,0,7.62194
HG01349,0,0,0,1.78141,0,0,11.6265
HG01350,0,0,0,0,0,0,18.0558
HG01351,0,0,0,0,0,0,5.45275
HG01352,0,0,0,0,0,0,14.9101
HG01353,0,0,0,0,0,0,18.0558
HG01354,0,0,0,0,0,0,16.318
HG01355,0,0,0,0,0,0,13.4619
HG01356,0,0,0,1.78141,0,0,15.6311
HG01357,0,0,0,0,0,0,6.86062
HG01358,0,0,0,0,0,0,8.00917
HG01359,0,0,0,0,0,0,9.71666
HG01360,0,0,0,0,0,0,12.3134
HG01361,0,0,0,0,0,0,2.85604
HG01362,0,0,0,0,0,0,6.86062
HG01363,0,0,0,0,0,0,8.59843
HG01365,0,0,0,0,0,0,10.8652
HG01366,0,0,0,0,0,0,13.7212
HG01367,0,0,0,0,0,0,10.8652
HG01369,0,0,0,1.78141,0,0,14.5963
HG01372,0,0,0,0,0,0,8.00917
HG01374,0,0,0,1.78141,0,0,18.2278
HG01375,0,0,0,0,0,0,6.86062
HG01376,0,0,0,1.78141,0,0,11.6265
HG01377,0,0,0,0,0,0,6.86062
HG01378,0,0,0,0,0,0,16.318
HG01379,0,0,0,0,0,0,8.00917
